date,locality,state,location,title,size_text,size_low,size_high,organizations,participants,claims,valence,event_type,police_measures,participant_measures,police_injuries,participant_injuries,arrests,property_damage,police_deaths,participant_deaths,macroevent,notes,coder,source1,source2,source3,source4,source5,source6,source7,source8,source9,source10,source11,source12,source13,source14,source15,source16,source17,source18,source19,source20,source21,source22,source23,source24,source25,source26,source27,source28,source29,source30
2023-09-29,Longmeadow,MA,Longmeadow St and Forest Glen Rd,,,,,Longmeadow Anti-Racist Coalition,,against systemic racism,1,demonstration,,,,,,,,,,every Friday since June 2020,,https://www.masslive.com/news/2023/06/dueling-rallies-highlight-divergent-missions-in-longmeadow-anti-racism-group.html,https://www.facebook.com/groups/856764564832052/,https://www.wwlp.com/news/local-news/hampden-county/longmeadow-anti-racism-coalition-resumes-weekly-standouts/,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-29,Longmeadow,MA,Longmeadow St and Forest Glen Rd,,,,,,,"against systemic racism, against Russia's invasion and war in Ukraine, against bullying",1,demonstration,,,,,,,,,,every Friday since split with LARC over expanding claims to include war in Ukraine at some point after April 2022; guesstimating timing of split to May 2022,,https://www.masslive.com/news/2023/06/dueling-rallies-highlight-divergent-missions-in-longmeadow-anti-racism-group.html,https://www.facebook.com/groups/856764564832052/,https://www.wwlp.com/news/local-news/hampden-county/longmeadow-anti-racism-coalition-resumes-weekly-standouts/,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-29,Los Angeles,CA,"Wallis Annenberg Hall, University of Southern California",,several dozen; about 50,36,50,USC Armenian Student Association,students; community members; greater Los Angeles Armenian diaspora,"against appearance by Turkey's ambassador to the United States at conference at University of Southern California, against Turkey's denial of Armenian genocide, in support of Artsakh, Armenia flag, genocidal policy has no place in diplomacy!, USC supports terrorists, mothers and daughters, shame on USC!, shame on Turkey!, Los Angeles do your part, 1915 never again",0,protest,on scene; instructed protesters to vacate conference venue and escorted them outside; locked building down for day; formed line and advanced on protesters at entrance to venue to push them back; knocked at least one protester to the ground,disrupted conference event; banged on building doors; some scuffled with police in skirmish line at entrance to building; possibly shoved and threw liquid on some in group around Turkish diplomat as they exited building after participating in event,,,,,,,,,,https://www.uscannenbergmedia.com/2023/09/29/armenians-protest-turkish-ambassadors-presence-on-campus/,https://dailytrojan.com/2023/09/30/armenian-students-and-supporters-protest-annenberg-event-featuring-turkish-ambassador/,https://twitter.com/ayfwest/status/1707826291142176992,https://www.latimes.com/california/story/2023-10-05/turkish-diplomats-reportedly-attacked-at-usc-by-armenian-protesters,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-29,Los Angeles,CA,Wilshire Blvd and Western Ave,,,,,Los Angeles Critical Mass,,"for safer streets for bicyclists, for community-building",0,bicycle ride,,,,,,,,,,last Friday of every month,,https://www.instagram.com/lacriticalmass/?hl=en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-29,Manchester,NH,"WMUR News 9, 100 S Commercial St",Fake News Friday Flag Wave,,,,,,"against WMUR New 9, against fake news",2,demonstration,,flag wave,,,,,,,,every Friday since 2022-09-23,,https://nhpatriothub.org/events-calendar/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-29,McGregor,IA,Triangle Park,,,,,,,for abortion rights,1,demonstration,,,,,,,,,,every Friday since late June 2022,,https://iowastartingline.com/2022/07/29/iowa-abortion-rights-protester-describes-being-assaulted-by-mcgregor-man/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-29,Medford,MA,Tufts University,,,,,Planned Parenthood Action,students,"against Federalist Society debate on abortion rights at Tufts University, for abortion access, I [love] abortions",1,protest,called to scene,disrupted event with shouting and noisemakers,,,,,,,,,,https://www.tuftsdaily.com/article/2023/10/abortion-discussion-organized-by-federalist-society-attracts-pro-choice-protesters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-29,Monroe,LA,Grambling State University,Votecoming,count video,40,50,NAACP Grambling State University Chapter; Power Coalition,students,"for Black youth voter registration and participation, your vote matters, ""Our lives begin to end the day we become silent about things that matter"", Black voters matter, power your vote, you can't stop the revolution!",1,rally; march,,prayer,,,,,,,,,,https://www.knoe.com/2023/09/29/grambling-state-university-students-rally-raise-awareness-vote/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-29,Napa,CA,3020 Browns Valley Rd,,,,,,,"against antisemitism, against bigotry, hate is not a Napa value",1,demonstration,,truck with large sign parked in front of target's house,,,,,,,,planned thru end of Oct 2023,,https://napavalleyregister.com/news/local/napan-protests-hate-messages-with-his-own-sign-campaign-on-browns-valley-road/article_fd43e002-5280-11ee-9e6b-cfd61e5f0f6b.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-29,New York,NY,"City Hall Park, Manhattan",,,,,Fridays for Future NYC,,for climate justice,1,demonstration,,,,,,,,,,"every Friday, not clear since when, our coverage starts 2022-10-07",,https://www.instagram.com/p/Cp2yVtjO9nR/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-29,New York,NY,"Museum of Chinese in America, 215 Centre St",March Against Displacement and Racist Violence,,,,Youth Against Displacement,,"in solidarity with workers at Jing Fong restaurant, against gentrification and displacement from Chinatown, against racism",1,picket,,,,,,,,,,every Thursday thru Sunday,,https://docs.google.com/forms/d/e/1FAIpQLSexLtzOKkZaCS9V-BiKJUeXEUQu0rGczFqAhrC5rBSOW-Qe6w/viewform,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-29,Omaha,NE,Northwest High School,,dozens,24,24,,students,"against state legislation that restricts access to abortion and gender-affirming health care for transgender minors, against Let Them Grow Act, against LB 574, Trans Pride flag, you can't make that choice for me, respect my existence or expect my resistance, Progress Pride flag, we don't want your cis kids to be trans we want your trans kids to survive, bullets are touching your children not gay people, regulate guns not my body",1,demonstration,,walkout,,,,,,,,,,https://www.3newsnow.com/news/local-news/omaha-high-school-students-hold-walkout-to-protest-let-them-grow-act,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-29,Palo Alto,CA,El Camino Real and Embarcadero Rd,,,,,WILPF,,"for peace, against war, for banning nuclear weapons, for ending gun violence, for racial justice, for gender justice, for protecting the environment from unchecked climate change",0,vigil,,,,,,,,,,"every Friday; started in 1922, some gaps since",,https://www.facebook.com/PPAWILPF/,correspondence with organizer,https://patch.com/california/paloalto/calendar/event/20230224/39d1255e-52f0-4ca8-8be8-37be05aee748/silent-vigil-to-end-the-war-in-ukraine-and-end-community-national-and-global-violence,https://www.indybay.org/newsitems/2023/07/31/18857933.php,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-29,Palo Alto,CA,Palo Alto City Hall,,,,,Fridays for Future Palo Alto,,for climate action,1,demonstration,,,,,,,,,,"every Friday since January 15, 2022",,https://mobile.twitter.com/polimatt1/status/1482427124258525184,https://twitter.com/Fri4Future_PA/status/1611117026990333953,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-29,Phoenixville,PA,Reeves Park,Let's Beat Breast Cancer,,,,Physicians Committee for Responsible Medicine,,"in honor of Breast Cancer Awareness Month, for preventing breast cancer, for vegan diet",0,rally,,,,,,,,,,,,https://www.pcrm.org/letsbeatbreastcancer/rallies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-29,Pittsburgh,PA,"Cathedral of Learning, University of Pittsburgh",,,,,Fossil Free Pitt Coalition,,against University of Pittsburgh's role in causing climate change,1,protest,,sit-in,,,,,,,,"every Friday, unclear since when, our coverage starts 2022-10-21 with some prior events picked up ad hoc",,https://www.instagram.com/p/Cj79403ucV1/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-29,Pittsburgh,PA,Wood St and 6th Ave,,over 40,40,40,Pittsburghers for Public Transit; Amalgamated Transit Union Local 85,transit riders; workers,"against plan to eliminate several city bus routes, for better access to public transit, transit moves us, city resident / transit rider, stop the cuts to the 61D 71A 71C 71D, don't stop us from getting where we want and need to be, transit improvement should make service better",0,rally; march,,marched in street; amplified sound; marched to board meeting where some gave public comments,,,,,,,,,,https://www.pittsburghforpublictransit.org/rally-and-testify-new-changes-shouldnt-set-us-back/,https://www.pittsburghforpublictransit.org/wp-content/uploads/2023/09/Press-Release_-Transit-Riders-Call-for-Stopping-Cuts-.pdf,https://twitter.com/Pgh4PubTransit/status/1707773559353827338,https://www.wtae.com/article/pittsburgh-bus-rapid-transit-downtown-oakland-uptown/45376956,https://triblive.com/business/riders-protest-pittsburgh-regional-transits-plan-to-shorten-4-routes/,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-29,Portland,ME,"Planned Parenthood - Portland Health Center, 443 Congress St",,,,,,,"against abortion, for Christian values",2,demonstration,,,,,,,,,,"every Friday, unclear since when, so started recording on 5/6/22",,https://www.centralmaine.com/2022/05/06/with-focus-on-the-supreme-court-anti-abortion-protesters-continue-weekly-demonstrations/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-29,Portland,OR,Pioneer Courthouse Square,Friday Rally for Peace and Justice,,,,Peace and Justice Works Iraq Affinity Group,,"for peace, for justice, against war",0,rally,,,,,,,,,,every Friday since November 2001,,https://pjw.info/guantanamo21yl.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-29,Portland,OR,,,,,,Arbor Lodge Daily Protest,,"against racism, against police brutality",1,demonstration,,open mic,,,,,,,,every Friday since June 2020; not yet added to super repeater sheet,,https://www.facebook.com/BLMARBORLODGEPROTEST/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-29,Provo,UT,Main St and Murray St,Roll Roll Roll UR Stroad,,,,Sweet Streets,,for safer roadways for bicyclists,0,bicycle ride,,,,,,,,,,,,https://www.instagram.com/p/CxbbhBRyKhg/?img_index=1,https://www.instagram.com/p/Cxy95LjutvL/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-29,Reno,NV,Chrissie Caughlin Park,,count pic,10,15,For Our Future Nevada,,"against U.S. Representative Mark Amodei, against potential government shutdown, against cuts to federal spending on social services, shut down Amodei not the government, green jobs / green energy",1,rally,,podium and amplified sound,,,,,,,,,,https://thisisreno.com/2023/09/photos-progressive-group-protests-rep-amodei/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-29,Rochester,NY,Dr. Walter Cooper Academy School No. 10,,,,,,,"against planned closure of Dr. Walter Cooper Academy School No. 10, against school district reorganization plan",0,rally,,,,,,,,,,,,https://www.whec.com/top-news/rally-held-to-object-to-school-10s-closure/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-29,Rockford,IL,Rockford City Hall,,,,,May 30th Alliance,,"against police terrorism, against mass incarceration, against racial injustice",1,demonstration,,,,,,,,,,,,https://twitter.com/M30Alliance/status/1370029296509652993,https://www.instagram.com/p/CaSTboAu4rQ/,https://www.instagram.com/p/Cn0kEJfNppE/,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-29,Saint Paul,IL,Summit Ave & Snelling Ave,,,,,Women Against Military Madness,,"in solidarity with the people of Palestine, against Israel's occupation of Palestine",0,vigil,,,,,,,,,,every Friday,,https://www.instagram.com/p/CfuUTyoMRnE/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-29,Salt Lake City,UT,Utah State Capitol,,count pic,2,3,Fridays for Future Utah,,"for climate action, the children born today will suffer due to climate change, fossil fuels must go",1,demonstration,,,,,,,,,,every Friday since May 2019,,https://www.instagram.com/p/Cvho_xlNOp6/,https://www.instagram.com/p/Cxy9xZiOoGu/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-29,San Francisco,CA,Embarcadero Plaza,Critical Mass,,,,SF Critical Mass,,"for safer streets for bicyclists, for community-building",0,bicycle ride,,,,,,,,,,last Friday of every month,,https://twitter.com/CriticalMassSf/status/1552400147878883328,https://www.indybay.org/newsitems/2022/08/28/18851788.php,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-29,San Francisco,CA,"San Francisco Police Officers Association, 800 Bryant St",POA: Shut It Down!,,,,Revolutionary Workers United Front,,"for shutting down the San Francisco Police Officers Association, for abolishing the Police Officer's Bill of Rights, for recalling District Attorney Brooke Jenkins, for abolishing police, against police brutality, for police accountability, against racism",1,protest,,,,,,,,,,every Friday,,https://www.indybay.org/newsitems/2023/07/19/18857413.php,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-29,San Francisco,CA,"Meta, 250 Howard St",Protest for Meta AI to Stop Irresponsible Model Proliferation,count pic,16,18,metaprotest.org,,"against Meta's public release of its AI models, for public safety protections against LLMs, don't make the genie before the lamp, safety over profit, don't open source doomsday, avoid an AI arms race, safety over profit, no to reckless AI releases, Senate AI Insight Forum Meta's AI enables bioterrorism",0,protest,,,,,,,,,,,,https://spectrum.ieee.org/meta-ai,https://metaprotest.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-29,San Jose,CA,"Dr. Martin Luther King, Jr. Library, 150 E San Fernando St",Friday Night Peace Vigil,,,,,,for peace,0,vigil,,,,,,,,,,every Friday since October 2001,,https://www.actiontogetherbayarea.org/calendar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-29,San Leandro,CA,San Leandro BART Station,,,,,Pax Christi Northern California Gandhi Team San Jose,,for abolishing nuclear weapons,0,demonstration,,,,,,,,,,,,https://defusenuclearwar.org/event/vigils-at-bay-area-rapid-transit-stations/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-29,Schenectady,NY,State St and Erie Blvd,,,,,Schenectady Neighbors for Peace,,for peace,0,vigil,,,,,,,,,,every Friday,,https://peaceact.net/branches/snp/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-29,Seattle,WA,,,,,,Fridays for Future Seattle,,for climate justice,1,demonstration,,,,,,,,,,every Friday,,https://twitter.com/solo_syn_/status/1573513412109561856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-29,Sherman Oaks,CA,"Sherman Oaks Galleria, Sepulveda Blvd and Ventura Blvd",,,,,The Valley of Change,,"against racism, against police brutality",1,demonstration,,,,,,,,,,,,https://www.instagram.com/p/CU_P39hJaOc/?utm_source=ig_web_copy_link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-29,Sioux Falls,SD,Sioux Falls Police Department,,,,,,family; community,"for justice for Jacob James, against police brutality, against racism, for Native people's rights",1,demonstration,,,,,,,,,,every Friday,,https://youtu.be/pvZ-8S3GRHE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-29,Tucson,AZ,Armory Park,2023 Tucson Pride Parade,,,,Tucson Pride; Southern Arizona AIDS Foundation; Tucson Multifaith Coalition; Two-Spirit of Tucson,,"for LGBTQ+ pride, Rainbow Pride flag, Trans Pride flag, Progress Pride flag, reproductive freedom for all Arizona, radical love, intersectionality",1,march,participated in parade,parade,,,,,,,,festival on 9/30 has paid tickets,,https://azjewishpost.com/2023/op-ed-tucsons-multifaith-coalition-shows-up-for-pride/,https://wildcat.arizona.edu/149723/multimedia/saaf-pride-parade-2023/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-29,Ukiah,CA,Mendocino County Courthouse,Friday Freedom Rally,,,,Mendocino Patriots,,"for freedom, for patriotism",2,rally,,,,,,,,,,every Friday,,https://mendocinopatriots.org/events/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
