date,locality,state,location,title,size_text,size_low,size_high,organizations,participants,claims,valence,event_type,police_measures,participant_measures,police_injuries,participant_injuries,arrests,property_damage,police_deaths,participant_deaths,macroevent,notes,coder,source1,source2,source3,source4,source5,source6,source7,source8,source9,source10,source11,source12,source13,source14,source15,source16,source17,source18,source19,source20,source21,source22,source23,source24,source25,source26,source27,source28,source29,source30
2023-07-01,Boise,ID,"Shield of Faith, 2312 N Cole Rd",,,,,,,"against Shield of Faith Baptist Church, against hate, against queerphobia, against patriarchy, against antisemitism",1,protest,,dance protest,,,,,,,,"every other Sunday, during service",,https://twitter.com/Dylan_Goldade/status/1637875404563427328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-01,Boulder,CO,Canyon Blvd and Broadway,,,,,Rocky Mountain Peace & Justice Center,,for ending all U.S. wars,0,demonstration,,,,,,,,,,every Saturday since August 2021,,https://www.rmpjc.org/calendar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-01,Bucksport,ME,Bucksport-Verona Island Bridge,Weekly Bridge Standout,,,,Solidarity Bucksport,,"against racism, against police brutality, for reproductive rights, for LGBTQ+ rights, for women's rights, for peace",1,demonstration,,,,,,,,,,every Saturday since August 2020,,https://www.facebook.com/solidaritybucksport,https://www.wabi.tv/2023/01/07/solidarity-bucksport-hosts-curbside-demonstration-remember-jan-6th-insurrection/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-01,Butte,MT,Stodden Park,Butte Pride 2023,,,,,,for LGBTQ+ pride,1,rally,,,,,,,,,,,,https://allevents.in/mobile/amp-event.php?event_id=200024492142516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-01,Cambridge,MA,Fayette St and Broadway,,,,,New Federal State of China,,"against Luc Despins and his family, against the Communist Party of China, for patriotism, for democracy in America, against communism",2,demonstration,,,,,,,,,,daily since 2022-11-20; org backed by Miles Guo and Steve Bannon; evidence that some protesters are paid,,https://www.cambridgeday.com/2023/02/02/why-an-exiled-chinese-billionaire-has-protesters-outside-the-home-of-a-cambridge-schoolteacher/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-01,Cambridge,MA,"Harvard Yard, Harvard University; Smith Campus Center, Harvard University; Science Center Plaza, Harvard University",,dozens; about 100; more than 100,24,100,Coalition for a Diverse Harvard,students; community members; alumni; faculty,"against U.S. Supreme Court ruling barring affirmative action in college admissions, defend diversity / the way forward is with diversity, don't erase race / erase racism, equality / opportunity / solidarity, #DefendDiversity, ain't no power like the power of the people and the power of the people won't stop!, our unity is our strength / our diversity is our power, diversity is under attack!, Edward Blum what are you on! Asian students are not your pawns!, affirmative action benefits all, first gen Harvard '89, diverse Harvard = best Harvard, which side are you on",1,rally; march,,megaphone; verbally confronted counter-protester,,,,,,,20230701-harvard-affirmativeaction,,,https://www.bostonglobe.com/2023/07/01/metro/harvard-affirmative-action-case/,https://www.cbsnews.com/boston/news/harvard-university-students-protest-supreme-court-affirmative-action-decision-ruling/,https://whdh.com/news/harvard-students-protest-supreme-courts-affirmative-action-ruling/,https://www.harvardmagazine.com/2023/07/rally-against-scotus-admissions-ruling,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-01,Cambridge,MA,"Smith Campus Center, Harvard University",,a,1,1,,man,against protest for affirmative action in college admissions,2,counter-protest,,stood in crowd and heckled rally-goers,,,,,,,20230701-harvard-affirmativeaction,,,https://www.harvardmagazine.com/2023/07/rally-against-scotus-admissions-ruling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-01,Carbondale,IL,Main St and Illinois Ave,,,,,The Peace Coalition of Southern Illinois,,for peace and justice,1,vigil,,,,,,,,,,first Saturday of every month,,https://www.sipeace.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-01,Charlotte,NC,3236 Latrobe Dr,40 Week Journey of Hope,,,,Love Life,,"against abortion, for Christian values",2,rally,,prayer rally,,,,,,,,every Saturday from Feb 11 to Nov 11 2023,,https://lovelife.org/locations/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-01,Chicago,IL,659 W Washington Blvd,40 Week Journey of Hope,,,,Love Life,,"against abortion, for Christian values",2,rally,,prayer rally,,,,,,,,every Saturday from Feb 11 to Nov 11 2023,,https://lovelife.org/locations/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-01,Chicago,IL,"DuSable Black History and Museum and Education Center, 740 E 56th Pl",Pride South Side Festival,,,,Pride South Side; Sisters Working It Out,elected officials,"for LGBTQ+ pride, for Black and Brown queer joy",1,rally,,festival,,,,,,,,,,https://blockclubchicago.org/2023/07/03/pride-south-side-creates-space-for-black-queer-joy-and-unity-here-you-feel-welcome/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-01,Chicago,IL,Federal Plaza,Protesting Is Not a Crime,more than 70,70,70,Chicago Students for a Democratic Society; Chicago Alliance Against Racist and Political Repression; FRSO; Students for Justice in Palestine; International League of People's Struggle; African People's Socialist Party; PSL; U.S. Palestinian Community Network; LVLHS Fightback; Familia Latina Unida,students; activists,"for dropping charges against Tampa Bay 5 protesters, for freeing all political prisoners, against Florida governor Ron DeSantis, against racist and anti-LGBTQ+ state legislation, against fascism, against anti-immigrant state legislation, free all political prisoners, drop the charges, say no to Ron's agenda, Mexico flag, protect education, boycott Florida / stop SB 1718, protesting is not a crime",1,rally,,megaphone,,,,,,,,,,https://twitter.com/BLMChi/status/1673850105894428674,https://twitter.com/CAARPRNow/status/1675217513943117825,https://www.fightbacknews.org/2023/7/1/chicago-rally-demands-drop-charges-tampa-5-and-free-all-political-prisoners,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-01,Chicago,IL,,,,,,,,"against anti-immigrant state legislation in Florida, against SB 1718",1,demonstration,,,,,,,,,,"location unspecified, but near NASCAR race",,https://www.latinorebels.com/2023/06/29/chicagonascarimmigrationprotest/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-01,Columbus,OH,3417 N High St,Occupy for Our Revolution,,,,Our Revolution,,for justice in all its forms,1,demonstration,,,,,,,,,,"every Saturday, unclear since when, our coverage starts on 2022-11-25",,https://www.mobilize.us/ourrevolution/event/404777/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-01,Concord,NH,Capitol Plaza,Freedom Rally,,,,We the People NH,,"for freedom, for patriotism",2,rally,,,,,,,,,,every Saturday,,https://www.instagram.com/p/CbPwyVVOqES/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-01,Corona,CA,City Hall Park,,count pic,25,35,Latino Content Creators for Immigrant Justice,Latinos,"against Riverside County Sheriff Chad Bianco's decision to join a border security coalition announced by GOP presidential candidate and Florida Governor Ron DeSantis, for citizenship for undocumented immigrants, end detention and deportation, pathway to citizenship now, American flag",1,rally,,,,,,,,,,,,https://www.pressenterprise.com/2023/07/01/latinos-protest-riverside-county-sheriff-chad-biancos-immigration-stance/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-01,Coupeville,WA,N Main St and WA-20,Rally for Roe in Coupeville,,,,POWER; Indivisible Whidbey,,"against overturning Roe v. Wade, for choice and bodily autonomy",1,demonstration,,,,,,,,,,every Saturday,,https://act.wewontgoback.com/event/bans-off-our-bodies-events/4356,https://www.mobilize.us/indivisible-whidby/event/493798/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-01,Davie,FL,Griffin Rd and University Dr,,,,,,,"in support of Donald Trump, for patriotism",2,demonstration,,,,,,,,,,"every Saturday since unspecified date in 2020, picking October 3 as start point",,https://www.sun-sentinel.com/local/broward/davie/fl-ne-trump-supporter-gathering-davie-20230401-ehftmnd76fgvhn4262pzmyagim-story.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-01,Daytona Beach,FL,Joe Harris Park,,dozens,24,24,,families,"against gun violence, for peace, Jesus up! guns down!",0,march; rally,participated in event,marched in streets,,,,,,,,,,https://www.fox35orlando.com/video/1242945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-01,Denver,CO,"The Drip Cafe, 869 Santa Fe Dr",,count pic,3,4,Denver Communists,,"against homophobia by parent company of The Drip Cafe coffee shop, against Recycled God's Love, Drip Cafe exploits homeless labor and disguises it as charity, LGBTQ+ liberation through socialist revolution",1,demonstration,,,,,,,,,,,,https://www.instagram.com/p/CuM7EbKrpnH/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-01,Detroit,MI,16435 E Eight Mile Rd,40 Week Journey of Hope,,,,Love Life,,"against abortion, for Christian values",2,rally,,prayer rally,,,,,,,,every Saturday from Feb 11 to Nov 11 2023,,https://lovelife.org/locations/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-01,Dover,NH,Central Ave and Indian Brook Drive,Freedom Rally,,,,,,"against coronavirus mask and vaccination mandates, for freedom, for medical choice",2,rally,,,,,,,,,,every Saturday,,https://nhpatriothub.org/events-calendar/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-01,Doylestown,PA,E State St and Main St,Pride Fest Block Party,,,,BC Cares; PFLAG Bucks County; NAACP; Rainbow Room; ROYGBIV Flags; Bubble Braid Boutique; The Yoga Gnome LLC; Visit Bucks County; Michener Art Museum; A Woman's Place; NOVA; Trans Minors Rights; Bucks LGBTQ Center; Made in Morrisville; KidsPeace; Delaware Valley University; Coexist Pride Faith Group; CBSD Neighbors United; Human Rights Campaign; Gorgeous Hooks Crochet; Restore; School of Rock; Triton Soaps; Monkeys Uncle; Renewal By Anderson,,for LGBTQ+ pride,1,rally,,festival,,,,,,,,postponed from June 22 by weather,,https://patch.com/pennsylvania/doylestown/doylestown-borough-show-its-pride-saturday-block-party,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-01,Emporia,KS,,Pride Never Ends,,,,Equality Kansas; Mainstream Coalition,,"against SB 180, against state law that defines man and woman based solely on sex assigned at birth, against anti-trans state legislation",1,rally,,,,,,,,,,,,https://www.kansascity.com/news/local/article276935823.html,https://twitter.com/LGBTQCommission/status/1673859452443738114,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-01,Eugene,OR,Eugene Public Library,,,,,,,for peace,0,protest,,,,,,,,,,every Saturday since 2002,,https://www.dailyemerald.com/ethos/protesting-for-peace/article_da6a07f2-e623-11ec-9d9c-2fb81f576a1e.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-01,Fairbanks,AK,,Rainbow Picnic,,,,Fairbanks Queer Collective; Native Movement; PFLAG; The Boys and Girls Club Fairbanks,,for LGBTQ+ pride,1,rally,,picnic,,,,,,,,,,https://www.webcenterfairbanks.com/2023/06/09/fairbanks-queer-collective-host-numerous-pride-events-this-summer/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-01,Fayetteville,NC,110 Cude St,40 Week Journey of Hope,,,,Love Life,,"against abortion, for Christian values",2,rally,,prayer rally,,,,,,,,every Saturday from Feb 11 to Nov 11 2023,,https://lovelife.org/locations/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-01,Fort Myers,FL,,,"over 1,000",1000,1000,,,"against anti-immigrant state legislation, against SB 1718, nosotros alimentamos al pais, dejanos vivir en paz, somos la fuerza de este pais, 589 million taxes paid by undocumented Floridians, Guatemala flag, hagamos la Florida segura por todos nuestras familias",1,rally,,,,,,,,,,,,https://www.tallahassee.com/story/news/local/state/2023/06/29/illegal-immigration-law-and-desantis-protest-marches-across-florida/70361119007/,https://ciw-online.org/blog/2023/07/massive-protest-against-sb1718-in-ft-myers-gets-national-media-attention/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-01,Fresno,CA,Fresno City Hall,Boicott Florida! No SB 1718!,,,,Coalicion Primero de Mayo por los Derechos de los Inmigrantes,,"against anti-immigrant state legislation in Florida, against SB 1718, for boycotting Florida",1,vigil; demonstration,,24-hour action,,,,,,,,,,https://www.instagram.com/p/CuH_EkCPTWT/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-01,Gainesville,FL,,,,,,,,"against anti-immigrant state legislation, against SB 1718",1,rally,,,,,,,,,,,,https://www.tallahassee.com/story/news/local/state/2023/06/29/illegal-immigration-law-and-desantis-protest-marches-across-florida/70361119007/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-01,Garden City,KS,,Pride Never Ends,,,,Equality Kansas; Mainstream Coalition,,"against SB 180, against state law that defines man and woman based solely on sex assigned at birth, against anti-trans state legislation",1,rally,,,,,,,,,,,,https://www.kansascity.com/news/local/article276935823.html,https://twitter.com/LGBTQCommission/status/1673859452443738114,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-01,Gorham,NH,Railroad St,Freedom Flag Convoy - Coos County,,,,We the People NH,,"for freedom, for patriotism, for The Resolve Initiative",2,caravan,,,,,,,,,,every Saturday starting 6/4/22,,https://nhpatriothub.org/events-calendar/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-01,Great Falls,MT,Highwood Creek Outfitters,,,,,,,"against IRS raid on Highwood Creek Outfitters gun shop, for Second Amendment rights",2,rally,,,,,,,,,,,,https://www.krtv.com/news/great-falls-news/pro-2a-rally-held-in-great-falls-after-armed-raid-of-gun-store,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-01,Greenfield,MA,Greenfield Common,,,,,,,for peace,0,vigil,,,,,,,,,,every Saturday since September 2002,,https://www.recorder.com/Roughly-30-convene-for-vigil-recognizing-77th-anniversary-of-Hiroshima-Nagasaki-bombings-47507635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-01,Greensboro,NC,2401 Randleman Rd,40 Week Journey of Hope,,,,Love Life,,"against abortion, for Christian values",2,rally,,prayer rally,,,,,,,,every Saturday from Feb 11 to Nov 11 2023,,https://lovelife.org/locations/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-01,Hamtramck,MI,,,count pic,2,3,Patriot Front,,"for white supremacy, for patriotism, America first",2,banner drop,,,,,,,,,,"no date specified, so dating to day before post",,https://t.me/PatriotFrontUpdates/15892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-01,Harrisonburg,VA,Love Park,,,,,Shenandoah Valley Antiwar Coalition,,"for peace in Ukraine, against war",0,vigil,,,,,,,,,,every Saturday during war,,https://www.whsv.com/2022/03/20/peace-vigil-ukraine-continues-harrisonburg/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-01,Hays,KS,,Pride Never Ends,,,,Equality Kansas; Mainstream Coalition,,"against SB 180, against state law that defines man and woman based solely on sex assigned at birth, against anti-trans state legislation",1,rally,,,,,,,,,,,,https://www.kansascity.com/news/local/article276935823.html,https://twitter.com/LGBTQCommission/status/1673859452443738114,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-01,Homestead,FL,,,,,,,,"against anti-immigrant state legislation, against SB 1718, Mexico flag, American/Guatemala flag, justicia para los inmigrantes",1,rally,,,,,,,,,,,,https://www.tallahassee.com/story/news/local/state/2023/06/29/illegal-immigration-law-and-desantis-protest-marches-across-florida/70361119007/,https://wsvn.com/news/local/miami-dade/new-immigration-permitless-gun-carry-laws-go-into-effect-across-florida-amid-protests-concerns/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-01,Hutchinson,KS,,Pride Never Ends,,,,Equality Kansas; Mainstream Coalition,,"against SB 180, against state law that defines man and woman based solely on sex assigned at birth, against anti-trans state legislation",1,rally,,,,,,,,,,,,https://www.kansascity.com/news/local/article276935823.html,https://twitter.com/LGBTQCommission/status/1673859452443738114,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-01,Independence,KS,,Pride Never Ends,,,,Equality Kansas; Mainstream Coalition,,"against SB 180, against state law that defines man and woman based solely on sex assigned at birth, against anti-trans state legislation",1,rally,,,,,,,,,,,,https://www.kansascity.com/news/local/article276935823.html,https://twitter.com/LGBTQCommission/status/1673859452443738114,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-01,Indianapolis,IN,,,,,,United Church of Christ,,"against anti-abortion and anti-LGBTQ+ state legislation, for Christian values, Progress Pride/We Are Called flag, protect trans youth",1,march,,prayer walk,,,,,,,,,,https://www.wrtv.com/news/politics/united-church-of-christ-holds-prayer-walk-to-protest-anti-abortion-anti-trans-legislations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-01,Iola,KS,,Pride Never Ends,,,,Equality Kansas; Mainstream Coalition,,"against SB 180, against state law that defines man and woman based solely on sex assigned at birth, against anti-trans state legislation",1,rally,,,,,,,,,,,,https://www.kansascity.com/news/local/article276935823.html,https://twitter.com/LGBTQCommission/status/1673859452443738114,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-01,Ithaca,NY,S Meadow St and Clinton St,,,,,Catholic Worker Movement,,"against war, for peace",0,vigil,,,,,,,,,,every Saturday since 2001-2003,,https://ithacavoice.com/2023/01/ithaca-catholic-workers-celebrate-20th-anniversary-of-saturday-peace-vigils/,https://catholicworker.org/about-the-catholic-worker-movement/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-01,Jacksonville,FL,Riverside Park,,,,,FRSO; Florida for All; DSA; Mobilize 4 Immigrants,,"against anti-immigrant state legislation, against SB 1718, Progess Pride flag, Texas flag, keep abortion legal, enough is enough / stop SB 1718, Rainbow Pride flag, Honduras flag, no to SB 1718",1,rally,,,,,,,,,,,,https://www.tallahassee.com/story/news/local/state/2023/06/29/illegal-immigration-law-and-desantis-protest-marches-across-florida/70361119007/,https://www.instagram.com/p/CuLZSQjt6cE/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-01,Kansas City,KS,St. John's Park,Pride Never Ends,,,,Equality Kansas; Mainstream Coalition,,"against SB 180, against state law that defines man and woman based solely on sex assigned at birth, against anti-trans state legislation",1,rally,,,,,,,,,,,,https://www.kansascity.com/news/local/article276935823.html,https://twitter.com/LGBTQCommission/status/1673859452443738114,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-01,Kansas City,MO,"Klymax Lounge, 4242 Indiana Ave",,,,,Aim4Peace,,"against gun violence, for peace",0,rally,,,,,,,,,,,,https://www.kshb.com/news/local-news/preaching-peace-owner-of-klymax-lounge-aim4peace-hold-stop-the-violence-rally-amid-gun-violence-in-kc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-01,Klamath Falls,OR,"Klamath County Library, 126 S 3rd St",,count pic,25,30,DSA,,"against Klamath County council decision to eliminate public library programs perceived to be political, for intellectual freedom, against bans on books in public libraries, ban censorship not books, the right to diverse discussion, freadom, American flag, free the library, libraries exist to encourage curiosity not limit it / keep book clubs going, got issues? let's discuss not censor, support free speech, we want brave commissioners not thin skinned authoritarians, censorship sucks, censorship = fascism",1,demonstration; march,on scene,,,,,,,,,,,https://www.heraldandnews.com/news/local_news/concerned-citizens-plan-silent-demonstration-for-local-libraries/article_b6ff77dc-16b7-11ee-ad48-87eedbe62341.html,https://www.heraldandnews.com/news/local_news/library-patrons-demonstrate-freedom-of-speech-right-to-protest/article_09ad22a2-19df-11ee-99f6-9bf95ce40530.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-01,Langley,WA,Cascade Ave,,,,,,,"against overturning Roe v. Wade, for choice and bodily autonomy",1,demonstration,,,,,,,,,,every Saturday,,https://act.wewontgoback.com/event/bans-off-our-bodies-events/4356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-01,Lawrence,KS,,Pride Never Ends,,,,Equality Kansas; Mainstream Coalition,,"against SB 180, against state law that defines man and woman based solely on sex assigned at birth, against anti-trans state legislation",1,rally,,,,,,,,,,,,https://www.kansascity.com/news/local/article276935823.html,https://twitter.com/LGBTQCommission/status/1673859452443738114,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-01,Layton,UT,,,count pic,1,2,Patriot Front,,"for white supremacy, for patriotism",2,demonstration,,stencils,,,,,,,,"no date specified, so dating to day before post",,https://t.me/PatriotFrontUpdates/15896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-01,Leavenworth,KS,,Pride Never Ends,,,,Equality Kansas; Mainstream Coalition,,"against SB 180, against state law that defines man and woman based solely on sex assigned at birth, against anti-trans state legislation",1,rally,,,,,,,,,,,,https://www.kansascity.com/news/local/article276935823.html,https://twitter.com/LGBTQCommission/status/1673859452443738114,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-01,Lore City,OH,Salt Fork State Park,,about 65,65,65,Save Ohio Parks; Ohio Environmental Council; Mid-Ohio Valley Climate Council; Third Act; Physicians for Social Responsibility; Leave No Child Inside; Sierra Club Ohio,,"against fracking in public lands in Ohio, for environmental protection, for wildlife conservation, save Ohio parks / no fracking on public lands, don't poison our water, keep the frack out of my water",1,rally,,,,,,,,,,,,https://www.timesleaderonline.com/news/local-news/2023/07/save-ohio-parks-allies-rally-to-fight-against-fracking/,https://news.wosu.org/2023-07-12/activists-rally-to-prevent-fracking-under-ohios-salt-fork-state-park,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-01,Manhattan,KS,,Pride Never Ends,,,,Equality Kansas; Mainstream Coalition,,"against SB 180, against state law that defines man and woman based solely on sex assigned at birth, against anti-trans state legislation",1,rally,,,,,,,,,,,,https://www.kansascity.com/news/local/article276935823.html,https://twitter.com/LGBTQCommission/status/1673859452443738114,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-01,Miami,FL,Little Haiti,,,,,,,"against anti-immigrant state legislation, against SB 1718, for democracy and human rights in Haiti, Haiti flag, gang members stop raping our women and girls, Ariel Henry must go, time for a government of transition, American flag, Core Group hands off Haiti",1,rally; march,,,,,,,,,,,,https://wsvn.com/news/local/miami-dade/new-immigration-permitless-gun-carry-laws-go-into-effect-across-florida-amid-protests-concerns/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
